autor,fecha,titulo,sitio,cuerpo,nivel,clasificacion
No disponible,No disponible,No disponible,www.cuartopoder.mx,No disponible,Nivel 1,más relevante
No disponible,No disponible,No disponible,www.cuartopoder.mx,No disponible,Nivel 1,más relevante
No disponible,No disponible,No disponible,www.cuartopoder.mx,No disponible,Nivel 1,más relevante
No disponible,No disponible,No disponible,www.cuartopoder.mx,No disponible,Nivel 1,más relevante
No disponible,No disponible,No disponible,www.cuartopoder.mx,No disponible,Nivel 1,más relevante
No disponible,No disponible,No disponible,www.cuartopoder.mx,No disponible,Nivel 1,más relevante
No disponible,No disponible,No disponible,www.cuartopoder.mx,No disponible,Nivel 1,más relevante
No disponible,No disponible,No disponible,www.cuartopoder.mx,No disponible,Nivel 1,más relevante
No disponible,No disponible,No disponible,www.cuartopoder.mx,No disponible,Nivel 1,más relevante
No disponible,No disponible,No disponible,www.cuartopoder.mx,No disponible,Nivel 1,más relevante
No disponible,"13 junio, 2025",No disponible,alertachiapas.com,"¡Tu voz importa! 📢
Solamente en junio las intensas lluvias y vientos han provocado la caída de árboles, encharcamientos, cortocircuitos, bardas colapsadas y desbordamientos de ríos. Se pide a la población extremar precauciones y reportar cualquier emergencia.
Las intensas lluvias registradas en los últimos días en la capital chiapaneca han dejado un saldo de al menos
249 afectaciones
en diversas zonas de la ciudad, de acuerdo con el último reporte de autoridades de Protección Civil municipal.
Entre los principales incidentes se encuentran la
caída de 116 árboles
, así como
24 ramas
que también representaron un riesgo para la población y la infraestructura urbana. Además, se reportaron
13 encharcamientos en vialidades
y
nueve casos
en los que vehículos quedaron varados por acumulación de agua.
En materia de infraestructura, se registraron
tres bardas colapsadas
,
14 alcantarillas destapadas
,
12 reportes de láminas desprendidas en techos
y
ocho postes caídos
, además de
dos anuncios espectaculares que cedieron
ante las rachas de viento y la humedad.
También se atendieron
13 domicilios encharcados
,
14 levantamientos de material de arrastre
, y
12 casos de cortocircuito
causados por el agua. Llama la atención que se reportaron
tres incendios
provocados por la
caída de rayos
, así como
dos desbordamientos
de ríos o arroyos.
En cuanto a rescates, se realizaron
dos operativos
, uno de ellos para auxiliar a una persona y otro para salvar a un canino atrapado por las condiciones del clima. Además, se registraron
dos incidentes prehospitalarios
relacionados con las lluvias.
Las autoridades hicieron un llamado a la población a extremar precauciones durante esta temporada de lluvias, evitar cruzar calles con corriente de agua, mantenerse alejados de árboles grandes, postes o anuncios, y reportar cualquier incidente al 911 o a los números de emergencia municipales.
Discover more from Alerta Chiapas
Subscribe to get the latest posts sent to your email.
Type your email…
Suscribirse",Nivel 1,más relevante
No disponible,"12 junio, 2025",No disponible,alertachiapas.com,"¡Tu voz importa! 📢
Autoridades de San Cristóbal detectaron que al menos 80 bares y restaurantes operan con licencias presuntamente falsas, por lo que exhortaron a los propietarios a iniciar su regularización de manera personal y conforme a la normatividad vigente.
Al menos 80 bares y restaurantes del municipio operan con licencias presuntamente apócrifas, según se dio a conocer durante una reunión entre autoridades municipales y propietarios de estos negocios. La documentación irregular habría sido gestionada por un intermediario y ya fue denunciada ante la Fiscalía General del Estado.
De acuerdo con información oficial, ningún establecimiento presente en la reunión cuenta con un proceso de regularización válido ante el Ayuntamiento, pese a llevar años en operación. Se indicó que, para iniciar con dicho trámite, los propietarios deberán acudir personalmente a las oficinas de Servicios Públicos y Tesorería Municipal, ya que no se aceptarán gestiones realizadas por terceros.
Las autoridades recordaron que para obtener una licencia de funcionamiento legal, los negocios deben cumplir con requisitos establecidos por normativas locales y federales, como permisos de COFEPRIS, Protección Civil, y el cambio de uso de suelo, entre otros. Si no se cumplen estos lineamientos, el Ayuntamiento no está facultado para emitir ningún permiso.
Desde el gobierno municipal se hizo un llamado al orden y al respeto a la ley, reiterando que habrá acompañamiento para quienes busquen operar conforme a la normativa vigente, pero se actuará con firmeza ante irregularidades y documentación falsa.
“Queremos un San Cristóbal ordenado, seguro y con negocios que contribuyan al desarrollo del municipio”
, fue el mensaje que la presidenta, Fabiola Ricci, dirigió a los empresarios locales.
Discover more from Alerta Chiapas
Subscribe to get the latest posts sent to your email.
Type your email…
Suscribirse",Nivel 1,más relevante
