ranking,titulo,url,tipo,sitio,nivel
1,Lo asesinan a plomazos mientras asaba carnes,https://www.cuartopoder.mx/reporte/lo-asesinan-a-plomazos-mientras-asaba-carnes/538239,Lo Más Leído,www.cuartopoder.mx,Nivel 1
2,"Millonario negocio ""legaliza"" ecocidio de ayuntamientos",https://www.cuartopoder.mx/chiapas/millonario-negocio-legaliza-ecocidio-de-ayuntamientos/538156,Lo Más Leído,www.cuartopoder.mx,Nivel 1
3,Localizan a colombiano succionado por alcantarilla,https://www.cuartopoder.mx/reporte/localizan-a-colombiano-succionado-por-alcantarilla/538237,Lo Más Leído,www.cuartopoder.mx,Nivel 1
4,"Fatal choque: un muerto y un lesionado, el saldo",https://www.cuartopoder.mx/reporte/fatal-choque-un-muerto-y-un-lesionado-el-saldo/538234,Lo Más Leído,www.cuartopoder.mx,Nivel 1
5,"Río Suchiapa, desviado y con hectáreas devastadas",https://www.cuartopoder.mx/chiapas/rio-suchiapa-desviado-y-con-hectareas-devastadas/538177,Lo Más Leído,www.cuartopoder.mx,Nivel 1
1,Precio de la gasolina sigue a la baja gracias a acuerdos federales,https://www.cuartopoder.mx/almomento/precio-de-la-gasolina-sigue-a-la-baja-gracias-a-acuerdos-federales-/538245,Lo Último,www.cuartopoder.mx,Nivel 1
2,Sedatu presenta avances del programa 'Vivienda para el Bienestar',https://www.cuartopoder.mx/almomento/sedatu-presenta-avances-del-programa-vivienda-para-el-bienestar-/538244,Lo Último,www.cuartopoder.mx,Nivel 1
3,"Sedatu alerta sobre fraudes y listas falsas en el programa ""Vivienda para el Bienestar""",https://www.cuartopoder.mx/almomento/sedatu-alerta-sobre-fraudes-y-listas-falsas-en-el-programa-vivienda-para-el-bienestar-/538243,Lo Último,www.cuartopoder.mx,Nivel 1
4,Trump Mobile: los hijos de Donald Trump lanzan su propia empresa de telefonía celular,https://www.cuartopoder.mx/almomento/trump-mobile-los-hijos-de-donald-trump-lanzan-su-propia-empresa-de-telefonia-celular-/538242,Lo Último,www.cuartopoder.mx,Nivel 1
5,Lo asesinan a plomazos mientras asaba carnes,https://www.cuartopoder.mx/reporte/lo-asesinan-a-plomazos-mientras-asaba-carnes/538239,Lo Último,www.cuartopoder.mx,Nivel 1
1,Lluvias de junio han provocado 249 afectaciones en distintos puntos de Tuxtla,https://alertachiapas.com/2025/06/13/lluvias-de-junio-han-provocado-249-afectaciones-en-distintos-puntos-de-tuxtla/,Lo Último,alertachiapas.com,Nivel 1
2,Detectan licencias apócrifas en bares y restaurantes de San Cristóbal,https://alertachiapas.com/2025/06/12/detectan-licencias-apocrifas-en-bares-y-restaurantes-de-san-cristobal/,Lo Último,alertachiapas.com,Nivel 1
3,Sheinbaum condena incursión de policías chiapanecos en Guatemala,https://alertachiapas.com/2025/06/10/sheinbaum-condena-incursion-de-policias-chiapanecos-en-guatemala/,Lo Último,alertachiapas.com,Nivel 1
4,Adolescentes desaparecidos en Tuxtla fueron localizados en San Cristóbal,https://alertachiapas.com/2025/06/09/adolescentes-desaparecidos-en-tuxtla-fueron-localizados-en-san-cristobal/,Lo Último,alertachiapas.com,Nivel 1
5,Arrancan marchas en Chiapas por el Día del Orgullo,https://alertachiapas.com/2025/06/08/arrancan-marchas-en-chiapas-por-el-dia-del-orgullo/,Lo Último,alertachiapas.com,Nivel 1
